Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],Most Recent Value [YR20111]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.61567,..,..,..,..,..,..,..,..,..,37.45584,..,..,..,..,..,..,..,..,..,41,..,43,..,..,43
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,15.5,15.3000001907349,15,14.8000001907349,14.6999998092651,14.5,14.3000001907349,14.1000003814697,13.8999996185303,13.8000001907349,13.3999996185303,13.3999996185303,13.5,13.6000003814697,13.6999998092651,13.8999996185303,14.1000003814697,14.3999996185303,14.6999998092651,15,15.3999996185303,15.6000003814697,15.6999998092651,15.8000001907349,..,15.8000001907349
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,81.4000015258789,81.4000015258789,81.3000030517578,81.3000030517578,81.3000030517578,81.3000030517578,81.3000030517578,81.3000030517578,81.3000030517578,81.4000015258789,80.6999969482422,80.6999969482422,80.6999969482422,80.6999969482422,80.6999969482422,80.6999969482422,80.5999984741211,80.5,80.4000015258789,80.3000030517578,80.0999984741211,79.9000015258789,79.6999969482422,79.5,..,79.5
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,49.2000007629395,49.0999984741211,48.9000015258789,48.7999992370605,48.5999984741211,48.5,48.4000015258789,48.2999992370605,48.2000007629395,48.0999984741211,47.5999984741211,47.5999984741211,47.7000007629395,47.7000007629395,47.7999992370605,47.7999992370605,47.9000015258789,47.9000015258789,48,48,48.0999984741211,48,47.9000015258789,47.9000015258789,..,47.9000015258789
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,49.573,50.431,51.258,52.046,52.785,53.464,54.074,54.622,55.118,55.572,56.001,56.423,56.853,57.302,57.778,58.279,58.803,59.336,59.863,60.379,60.877,61.352,61.806,62.237,..,62.237
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,47.609,48.427,49.218,49.975,50.685,51.338,51.924,52.448,52.92,53.348,53.751,54.145,54.547,54.97,55.419,55.896,56.397,56.906,57.411,57.906,58.384,58.84,59.274,59.688,..,59.688
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,18.4841619949147,19.5897650338511,21.0544833501823,22.7068146310082,24.3083769874092,25.6908403026683,26.7772569923108,27.623272983488,28.3544404619673,29.1615660325338,30.1778941886469,31.4480286738351,32.9122307998652,34.4750298685783,35.9952363446987,37.3739362190975,38.5742961737585,39.6372024630089,40.6346552093864,41.6740051465858,42.8303265631223,44.1276337959134,45.5331970100787,46.9970590938333,48.4445455380939,48.4445455380939
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,3.87969363482663,5.80929806649916,7.21062855108107,7.55515602372989,6.81559394879114,5.53134969838649,4.14183876292854,3.11057339034786,2.61250065114524,2.80679625574943,3.42580653261,4.1226624060886,4.55080456168904,4.63909445410118,4.31513158794839,3.75869629983257,3.16125834846767,2.71819809591115,2.48531457199415,2.52562775400891,2.73688595890095,2.98397866645826,3.13554616440454,3.16433627387256,3.03347255254667,3.03347255254667
Afghanistan,AFG,Ratio of female to male wages in manufacturing (%),SL.MNF.WAGE.FM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Telephone lines (per 100 people),IT.MLT.MAIN.P2,0.308579016643917,0.293370392092701,0.20996423657438,0.19109969638212,0.175917308673852,0.164903216312135,0.157477689619836,0.152461255651975,0.148742083074402,0.145093795884349,0.140808415099323,0.13584549439375,0.148855059130814,0.158763516853288,..,..,..,..,..,0.0185143834925035,0.058525635707427,0.0464139399178437,0.301821962963648,0.313465638576793,0.325860971995413,0.325860971995413
