Country Name,Country Code,Series Name,Series Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ecuador,ECU,Time required to start a business (days),IC.REG.DURS,69,65,65,65,64,56,55.5,55.5,55.5,55.5,50.5
Egypt Arab Rep.,EGY,Time required to start a business (days),IC.REG.DURS,22,19,10,8,8,8,8,8,8,8,8
El Salvador,SLV,Time required to start a business (days),IC.REG.DURS,40,35,19.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
Equatorial Guinea,GNQ,Time required to start a business (days),IC.REG.DURS,177,154,155,155,155,155,133,154,135,135,135
Eritrea,ERI,Time required to start a business (days),IC.REG.DURS,76,76,83,84,84,84,84,84,84,84,84
Estonia,EST,Time required to start a business (days),IC.REG.DURS,35,35,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4.5,3.5
Ethiopia,ETH,Time required to start a business (days),IC.REG.DURS,35,19,19,19,20,20,20,20,19,19,19
Europe & Central Asia,ECA,Time required to start a business (days),IC.REG.DURS,38.79999924,32.40000153,28.10000038,23.79999924,20,18.10000038,16.5,16.60000038,14.30000019,13.30000019,10
European Monetary Union,EMU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Faeroe Islands,FRO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Time required to start a business (days),IC.REG.DURS,44,44,44,44,44,44,44,58,58,58,58
Finland,FIN,Time required to start a business (days),IC.REG.DURS,14,14,14,14,14,14,14,14,14,14,14
France,FRA,Time required to start a business (days),IC.REG.DURS,7,7,7,6.5,6.5,6.5,6.5,6.5,6.5,4.5,4
French Polynesia,PYF,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Time required to start a business (days),IC.REG.DURS,57,57,57,57,57,57,57,57,50,50,50
Gambia The,GMB,Time required to start a business (days),IC.REG.DURS,28,27,32,27,27,27,27,27,27,26,25
Georgia,GEO,Time required to start a business (days),IC.REG.DURS,21,16,11,3,3,3,2,2,2,2,2
Germany,DEU,Time required to start a business (days),IC.REG.DURS,22,22,18,17.5,17.5,14.5,14.5,14.5,14.5,14.5,10.5
Germany Fed. Rep. (former),DFA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Ghana,GHA,Time required to start a business (days),IC.REG.DURS,17,17,13,11,11,11,11,11,14,14,14
Greece,GRC,Time required to start a business (days),IC.REG.DURS,38,38,38,19,19,19,11,11,14,13,13
Greenland,GRL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Time required to start a business (days),IC.REG.DURS,20,20,19,19,19,14,14,14,15,15,15
Guam,GUM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Time required to start a business (days),IC.REG.DURS,39,27,34,34,37,37,37,40,19.5,18.5,18.5
Guinea,GIN,Time required to start a business (days),IC.REG.DURS,40,40,40,40,40,40,40,35,16,8,8
Guinea-Bissau,GNB,Time required to start a business (days),IC.REG.DURS,259,260,259,259,216,216,9,9,9,9,9
Guyana,GUY,Time required to start a business (days),IC.REG.DURS,42,42,37,38,27,23,19,18,18,18,18
Haiti,HTI,Time required to start a business (days),IC.REG.DURS,202,202,202,224,224,134,134,134,97,97,97
Heavily indebted poor countries (HIPC),HPC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
High income: nonOECD,NOC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
High income: OECD,OEC,Time required to start a business (days),IC.REG.DURS,24.29999924,21.20000076,18.20000076,15.10000038,14.39999962,13.5,11.19999981,10.89999962,10.5,9,8.300000191
Honduras,HND,Time required to start a business (days),IC.REG.DURS,69,57,20,20,14,14,14,14,14,14,14
Hong Kong China,HKG,Time required to start a business (days),IC.REG.DURS,11,11,11,11,6,6,2.5,2.5,2.5,2.5,1.5
Hungary,HUN,Time required to start a business (days),IC.REG.DURS,38,38,16,5,4,4,4,5,5,5,5
IBRD only,IBD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,Time required to start a business (days),IC.REG.DURS,5,5,5,5,5,5,4.5,4.5,4.5,4,4
IDA blend,IDB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
India,IND,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,31.70000076,34,29
Indonesia,IDN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,75.5,52.5,47.79999924
Iran Islamic Rep.,IRN,Time required to start a business (days),IC.REG.DURS,30,30,30,30,11,13,13,18,18,15,15
Iraq,IRQ,Time required to start a business (days),IC.REG.DURS,32,31,32,32,32,32,32,29,29,29,29
Ireland,IRL,Time required to start a business (days),IC.REG.DURS,18,13,13,13,13,13,13,10,10,6,6
Isle of Man,IMY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Time required to start a business (days),IC.REG.DURS,19,19,19,19,19,19,19,20,13,13,13
Italy,ITA,Time required to start a business (days),IC.REG.DURS,13,13,13,10,10,6,6,7,7,6,5.5
Jamaica,JAM,Time required to start a business (days),IC.REG.DURS,8,8,8,8,8,8,7,7,6,15,3
Japan,JPN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,10.69999981,10.19999981,10.19999981
Jordan,JOR,Time required to start a business (days),IC.REG.DURS,16,16,13,13,12,12,12,12,12,12,12
Kazakhstan,KAZ,Time required to start a business (days),IC.REG.DURS,25,21,21,21,20,19,19,19,12,10,5
Kenya,KEN,Time required to start a business (days),IC.REG.DURS,54,54,44,31,31,31,33,32,32,30,26
Kiribati,KIR,Time required to start a business (days),IC.REG.DURS,31,31,31,31,31,31,31,31,31,31,31
Korea Dem. Rep.,PRK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Korea Rep.,KOR,Time required to start a business (days),IC.REG.DURS,17,17,17,17,14,14,7,4,4,4,4
Kosovo,KSV,Time required to start a business (days),IC.REG.DURS,..,..,..,..,52,58,58,52,30,11,11
Kuwait,KWT,Time required to start a business (days),IC.REG.DURS,35,35,35,35,35,35,32,32,32,31,31
Kyrgyz Republic,KGZ,Time required to start a business (days),IC.REG.DURS,21,21,21,19,15,14,14,14,10,10,10
Lao PDR,LAO,Time required to start a business (days),IC.REG.DURS,108,78,63,63,63,63,63,73,73,73,73
Latin America & Caribbean,LAC,Time required to start a business (days),IC.REG.DURS,75.40000153,71,64.59999847,63.70000076,62.09999847,57.20000076,53.5,53.70000076,34.79999924,29.79999924,29.39999962
Latvia,LVA,Time required to start a business (days),IC.REG.DURS,16,16,16,15.5,15.5,15.5,15.5,15.5,12.5,12.5,5.5
Least developed countries: UN classification,LDC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,Time required to start a business (days),IC.REG.DURS,53,53,53,18,15,15,15,15,15,15,15
Lesotho,LSO,Time required to start a business (days),IC.REG.DURS,103,73,73,39,39,39,39,29,29,29,29
Liberia,LBR,Time required to start a business (days),IC.REG.DURS,..,68,68,32,20,20,5.5,5.5,4.5,4.5,4.5
Libya,LBY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,35,35,35,35
Liechtenstein,LIE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Time required to start a business (days),IC.REG.DURS,26,26,26,26,26,22,22,19.5,6.5,3.5,3.5
Low & middle income,LMY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Lower middle income,LMC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,Time required to start a business (days),IC.REG.DURS,..,29,25,25,23,17.5,17.5,17.5,18.5,18.5,18.5
Macao China,MAC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Macedonia FYR,MKD,Time required to start a business (days),IC.REG.DURS,48,18,15,9,4,3,3,2,2,2,1
Madagascar,MDG,Time required to start a business (days),IC.REG.DURS,42,20,12,12,12,12,12,12,12,12,13
Malawi,MWI,Time required to start a business (days),IC.REG.DURS,37,37,37,37,36,36,36,37,40,38,38
Malaysia,MYS,Time required to start a business (days),IC.REG.DURS,37,37,31,20,18,17,5,6,6,4,4
Maldives,MDV,Time required to start a business (days),IC.REG.DURS,9,9,9,9,9,9,9,9,9,9,9
Mali,MLI,Time required to start a business (days),IC.REG.DURS,27,42,25,25,8,8,8,8,11,11,8.5
Malta,MLT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,38.5,38.5,38.5,33.5,28
Marshall Islands,MHL,Time required to start a business (days),IC.REG.DURS,17,17,17,17,17,17,17,17,17,17,17
Mauritania,MRT,Time required to start a business (days),IC.REG.DURS,82,82,50,19,19,19,19,19,19,9,8
Mauritius,MUS,Time required to start a business (days),IC.REG.DURS,46,46,7,6,6,6,6,6,6,6,6
Mayotte,MYT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,6.300000191,6.300000191,6.300000191
Micronesia Fed. Sts.,FSM,Time required to start a business (days),IC.REG.DURS,16,16,16,16,16,16,16,16,16,16,16
Middle East & North Africa,MNA,Time required to start a business (days),IC.REG.DURS,37.59999847,36.29999924,31,20.39999962,18.70000076,18.89999962,19.29999924,21.20000076,20.10000038,19.29999924,18.79999924
Middle income,MIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,Time required to start a business (days),IC.REG.DURS,30,30,23,15,10,10,9,9,7,6,4
Monaco,MCO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,Time required to start a business (days),IC.REG.DURS,13,13,13,13,13,13,13,12,11,11,6
Montenegro,MNE,Time required to start a business (days),IC.REG.DURS,..,24,24,21,12,10,10,10,10,10,10
Morocco,MAR,Time required to start a business (days),IC.REG.DURS,12,12,12,12,12,12,12,12,11,11,10
Mozambique,MOZ,Time required to start a business (days),IC.REG.DURS,174,116,31,33,33,19,19,19,19,19,19
Myanmar,MMR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,74,74,74,13
Namibia,NAM,Time required to start a business (days),IC.REG.DURS,95,95,99,66,66,66,66,66,66,66,66
Nepal,NPL,Time required to start a business (days),IC.REG.DURS,31,31,31,31,31,31,29,29,17,17,17
Netherlands,NLD,Time required to start a business (days),IC.REG.DURS,9,8,8,8,8,8,8,5,4,4,4
Netherlands Antilles,ANT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
New Caledonia,NCL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,Time required to start a business (days),IC.REG.DURS,12,12,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Nicaragua,NIC,Time required to start a business (days),IC.REG.DURS,40,40,39,39,39,39,39,39,36,13,13
Niger,NER,Time required to start a business (days),IC.REG.DURS,35,31,23,19,17,17,17,17,17,15,15
Nigeria,NGA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,30.79999924,30.79999924,30.79999924
Northern Mariana Islands,MNP,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,Time required to start a business (days),IC.REG.DURS,8,7,8,6,6,6,6,6,6,5,4
Oman,OMN,Time required to start a business (days),IC.REG.DURS,35,42,39,13,11,11,7,7,7,7,7
Pakistan,PAK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,19,19,19
Palau,PLW,Time required to start a business (days),IC.REG.DURS,24,28,28,28,28,28,28,28,28,28,28
Panama,PAN,Time required to start a business (days),IC.REG.DURS,18,18,18,12,12,9,8,7,6,6,6
Papua New Guinea,PNG,Time required to start a business (days),IC.REG.DURS,52,52,52,52,52,52,52,52,53,53,53
Paraguay,PRY,Time required to start a business (days),IC.REG.DURS,72,72,34,35,35,35,35,35,35,35,35
Peru,PER,Time required to start a business (days),IC.REG.DURS,104,74,74,66.5,40.5,27,26,26,26,26,26
Philippines,PHL,Time required to start a business (days),IC.REG.DURS,47,47,47,41,42,37,36,36,36,34,29
Poland,POL,Time required to start a business (days),IC.REG.DURS,46,31,31,31,32,32,32,32,30,30,30
Portugal,PRT,Time required to start a business (days),IC.REG.DURS,48,6.5,5.5,4.5,4.5,4.5,3.5,3.5,2.5,2.5,2.5
Puerto Rico,PRI,Time required to start a business (days),IC.REG.DURS,7,7,7,7,7,7,6,6,6,6,6
Qatar,QAT,Time required to start a business (days),IC.REG.DURS,..,..,7,7,7,9.5,8.5,8.5,8.5,8.5,8.5
Romania,ROM,Time required to start a business (days),IC.REG.DURS,11,11,9,9,9,9,13.5,9.5,8.5,8,8
Russian Federation,RUS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,12.89999962,11.19999981,10.5
Rwanda,RWA,Time required to start a business (days),IC.REG.DURS,18,16,16,14,7,7,7,8,7,6.5,5.5
Samoa,WSM,Time required to start a business (days),IC.REG.DURS,35,35,35,35,9,9,9,9,9,9,9
San Marino,SMR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,40,40,40,16.5
Sao Tome and Principe,STP,Time required to start a business (days),IC.REG.DURS,144,144,144,144,144,144,10,5,6,5,5
Saudi Arabia,SAU,Time required to start a business (days),IC.REG.DURS,70,45,23,23,23,23,23,20,20.5,20.5,19
Senegal,SEN,Time required to start a business (days),IC.REG.DURS,57,57,58,9,9,9,6,6,6,6,6
Serbia,SRB,Time required to start a business (days),IC.REG.DURS,23,23,23,23,13,13,13,12,12,12,12
Serbia and Montenegro,YUG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,Time required to start a business (days),IC.REG.DURS,33,33,33,33,33,33,33,33,32,32,32
Sierra Leone,SLE,Time required to start a business (days),IC.REG.DURS,26,26,26,17,12,12,12,12,12,12,10
Singapore,SGP,Time required to start a business (days),IC.REG.DURS,6,6,5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Slovak Republic,SVK,Time required to start a business (days),IC.REG.DURS,27,27,27,17.5,17.5,17.5,17.5,13.5,18.5,11.5,11.5
Slovenia,SVN,Time required to start a business (days),IC.REG.DURS,60,60,60,19,6,6,6,6,6,6,6
Solomon Islands,SLB,Time required to start a business (days),IC.REG.DURS,55,55,55,55,55,55,41,7,9,9,9
Somalia,SOM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,Time required to start a business (days),IC.REG.DURS,33,33,31,22,22,22,19,19,19,46,46
South Asia,SAS,Time required to start a business (days),IC.REG.DURS,31.39999962,31.39999962,27.79999924,27.79999924,27.39999962,26.20000076,23,18.20000076,18.10000038,16.39999962,15.69999981
South Sudan,SSD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,14,14,14,14
Spain,ESP,Time required to start a business (days),IC.REG.DURS,70,60,60,61,61,52,29,30,24,14,14
Sri Lanka,LKA,Time required to start a business (days),IC.REG.DURS,46,46,42,44,44,38,35,11,11,11,10
St. Kitts and Nevis,KNA,Time required to start a business (days),IC.REG.DURS,19,19,19,19,19,19,19,19,18.5,18.5,18.5
St. Lucia,LCA,Time required to start a business (days),IC.REG.DURS,22,20,20,20,14,14,11,11,11,11,11
St. Vincent and the Grenadines,VCT,Time required to start a business (days),IC.REG.DURS,12,12,12,12,11,10,10,10,10,10,10
Sub-Saharan Africa,SSA,Time required to start a business (days),IC.REG.DURS,63.20000076,59.20000076,54.29999924,50.40000153,47.79999924,45.59999847,35.90000153,34.20000076,29.60000038,27.89999962,26.79999924
Sudan,SDN,Time required to start a business (days),IC.REG.DURS,37,37,37,37,35,35,35,35,36,36,36
Suriname,SUR,Time required to start a business (days),IC.REG.DURS,697,689,689,690,690,690,690,690,204,84,84
Swaziland,SWZ,Time required to start a business (days),IC.REG.DURS,60,60,60,60,60,56,56,56,38,30,30
Sweden,SWE,Time required to start a business (days),IC.REG.DURS,16,16,16,16,16,16,16,16,16,16,7
Switzerland,CHE,Time required to start a business (days),IC.REG.DURS,18,18,18,18,18,18,18,18,18,10,10
Syrian Arab Republic,SYR,Time required to start a business (days),IC.REG.DURS,43,43,43,16,15,13,13,13,13,13,13
Taiwan China,TWN,Time required to start a business (days),IC.REG.DURS,65,65,47,41,22,15,10,10,10,10,10
Tajikistan,TJK,Time required to start a business (days),IC.REG.DURS,79,79,66,66,42,16,13,13,22,28,11
Tanzania,TZA,Time required to start a business (days),IC.REG.DURS,34,31,30,29,29,29,29,26,26,26,26
Thailand,THA,Time required to start a business (days),IC.REG.DURS,33,33,33,33,32,32,29,29,27.5,27.5,27.5
Timor-Leste,TMP,Time required to start a business (days),IC.REG.DURS,167,167,158,157,157,110,94,94,94,10,9
Togo,TGO,Time required to start a business (days),IC.REG.DURS,63,62,60,60,84,84,84,38,19,10,10
Tonga,TON,Time required to start a business (days),IC.REG.DURS,32,32,32,25,25,25,16,16,16,16,16
Trinidad and Tobago,TTO,Time required to start a business (days),IC.REG.DURS,74,41,41,41,41,40,40,40,35.5,11.5,11.5
Tunisia,TUN,Time required to start a business (days),IC.REG.DURS,11,11,11,11,11,11,11,11,11,11,11
Turkey,TUR,Time required to start a business (days),IC.REG.DURS,7,7,7,7,7,7,7,7,7,7.5,7.5
Turkmenistan,TKM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,Time required to start a business (days),IC.REG.DURS,34,28,28,25,25,24,33,36,35,35,27
Ukraine,UKR,Time required to start a business (days),IC.REG.DURS,34,33,27,27,27,27,24,22,21,21,7
United Arab Emirates,ARE,Time required to start a business (days),IC.REG.DURS,19,19,18,18,15,15,13,8,8,8,8
United Kingdom,GBR,Time required to start a business (days),IC.REG.DURS,12,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,6,4.5
United States,USA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,6.199999809,5.599999905,5.599999905
Upper middle income,UMC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Uruguay,URY,Time required to start a business (days),IC.REG.DURS,45,43,43,43,64,64,6.5,6.5,6.5,6.5,6.5
Uzbekistan,UZB,Time required to start a business (days),IC.REG.DURS,29,29,15,15,15,15,14,12,8.5,8.5,6.5
Vanuatu,VUT,Time required to start a business (days),IC.REG.DURS,47,47,47,47,47,47,33,33,35,35,35
Venezuela RB,VEN,Time required to start a business (days),IC.REG.DURS,143,143,142,141,141,141,141,144,144,144,144
Vietnam,VNM,Time required to start a business (days),IC.REG.DURS,42,47,37,37,37,36,36,32,34,34,20
Virgin Islands (U.S.),VIR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,WBG,Time required to start a business (days),IC.REG.DURS,93,93,92,48,48,48,47,47,45,44,44
World,WLD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Yemen Rep.,YEM,Time required to start a business (days),IC.REG.DURS,63,63,63,13,12,12,12,40,40,40,40
Zambia,ZMB,Time required to start a business (days),IC.REG.DURS,35,35,33,18,18,18,18,17.5,7.5,7.5,7.5
Zimbabwe,ZWE,Time required to start a business (days),IC.REG.DURS,93,93,93,93,93,86,86,86,90,90,90
